,pm25,t2m,d2m,u10,v10
2016/2/14 20:00,6,268.117349,254.9379201,3.054624579,-3.494957705
2016/2/15 2:00,5,266.2983028,254.1410768,2.255433869,-2.206553532
2016/2/15 8:00,3,266.6691966,256.5542611,2.870304809,-1.799064072
2016/2/15 14:00,7,274.621533,257.9962619,4.36007554,-6.305822498
2016/2/15 20:00,6,272.438886,258.4788987,3.267600589,-2.846849469
2016/2/16 2:00,4,271.1615947,258.4877635,2.376780665,-1.921560904
2016/2/16 8:00,4,270.4750246,260.7541868,2.422064601,-0.889712594
2016/2/16 14:00,9,278.8243007,261.9322147,3.635886348,-5.32803529
2016/2/16 20:00,11,275.321647,262.4276563,1.562023602,-3.022469927
2016/2/17 2:00,12,269.5488321,262.5064541,1.926771554,-1.22157901
2016/2/17 8:00,39,269.1258465,262.582297,1.518154789,-0.800652398
2016/2/17 14:00,37,280.9715253,264.2045479,3.360291146,1.210858072
2016/2/17 20:00,65,275.1362002,264.017403,3.012878451,0.681809256
2016/2/18 2:00,16,272.7431022,257.5569638,2.912050938,-1.822188474
2016/2/18 8:00,8,273.5234376,258.175527,2.638578419,-2.963408955
2016/2/18 14:00,5,280.3891388,259.7239048,3.121842921,-4.443683165
2016/2/18 20:00,25,276.6562393,260.380882,0.539243459,-2.149992495
2016/2/19 2:00,18,272.8191562,263.025535,0.278153267,-1.974372037
2016/2/19 8:00,19,271.8794199,261.6544523,0.552333347,-2.252802335
2016/2/19 14:00,10,277.3615625,258.9004673,2.382087377,-5.502718271
2016/2/19 20:00,11,272.3690829,256.2400547,0.565777015,-3.129654654
2016/2/20 2:00,11,268.7049447,255.1940131,0.86118394,-2.335925185
2016/2/20 8:00,6,268.5215815,253.6850342,2.81865282,-2.212490878
2016/2/20 14:00,11,274.6882105,254.7133462,3.720793728,-2.051557541
2016/2/20 20:00,24,269.8415881,256.9886343,2.624427189,1.343979628
2016/2/21 2:00,48,266.6191884,258.4788987,1.672049415,-1.137206192
2016/2/21 8:00,68,266.8848567,260.931482,-0.743211753,-0.738154014
2016/2/21 14:00,80,276.5333026,261.7214305,0.578513122,4.674518479
2016/2/21 20:00,108,271.8867127,264.2114427,0.124612422,2.472700432
2016/2/22 2:00,111,268.5059539,264.6369511,2.13762488,-1.253140693
2016/2/22 8:00,118,268.5559621,262.4296262,1.171095875,-1.764377469
2016/2/22 14:00,11,278.2929641,260.0341714,3.599800712,-3.041219442
2016/2/22 20:00,19,273.5067682,258.176512,1.643393174,-3.581517966
2016/2/23 2:00,15,270.471899,257.9755774,0.910713245,-2.265302012
2016/2/23 8:00,3,268.823714,255.4294217,2.800610002,-3.943071114
2016/2/23 14:00,7,273.6172028,255.0472521,1.853185158,-4.840235407
2016/2/23 20:00,16,270.8511275,256.7748951,0.343956486,-2.998095557
2016/2/24 2:00,17,266.131609,256.8005044,1.410251661,-0.523472067
2016/2/24 8:00,32,266.5670966,257.0497026,2.147884521,0.26025766
2016/2/24 14:00,29,278.077304,255.5919423,4.661496738,-1.409386652
2016/2/24 20:00,9,271.8835872,255.9662321,2.799194879,-2.257802206
2016/2/25 2:00,13,269.4123515,255.6845298,0.618490347,-2.50779574
2016/2/25 8:00,18,268.4934519,259.6047231,-0.044494775,-1.49219701
2016/2/25 14:00,30,278.4575743,257.8908697,2.969717199,-0.403162679
2016/2/25 20:00,7,274.1558322,258.3173631,1.334542581,-3.143404299
2016/2/26 2:00,3,268.9612364,256.3030929,1.859906992,-2.25686473
2016/2/26 8:00,7,268.8393416,258.6729384,1.767923998,0.140573256
2016/2/26 14:00,45,279.1097638,258.947746,2.78079828,2.543948589
2016/2/26 20:00,84,275.2956011,263.0097754,1.001634897,0.549312684
2016/2/27 2:00,9,271.9513066,263.7258509,0.526507352,-2.536544996
2016/2/27 8:00,12,270.8709223,264.1296899,-0.166549134,-2.099681296
2016/2/27 14:00,12,278.8013803,263.7691897,1.034890287,-0.281290832
2016/2/27 20:00,44,274.3725341,265.9715898,-0.46266362,2.130521783
2016/2/28 2:00,40,271.0980427,266.3035258,1.18736979,-0.605344949
2016/2/28 8:00,61,271.0334488,258.79803,1.687969549,-1.671254878
2016/2/28 14:00,12,277.0240075,259.0895821,3.104153884,-6.234886833
2016/2/28 20:00,7,271.7481485,255.4097223,0.883472127,-3.994944772
2016/2/29 2:00,8,267.7006145,255.8894042,1.399638239,-2.016245954
2016/2/29 8:00,9,268.6382672,257.2516221,0.068361283,-1.850625238
2016/2/29 14:00,39,276.6062312,259.3289306,1.420511303,0.572124593
2016/2/29 20:00,58,273.2410999,262.2986248,-0.224922957,2.675195194
2016/3/1 2:00,91,271.0084447,262.1823979,1.274753635,1.61647258
2016/3/1 8:00,109,270.21144,262.9477221,0.923803132,-1.631880897
2016/3/1 14:00,117,283.1250009,266.2611719,2.038212489,1.433664808
2016/3/1 20:00,163,279.5869248,268.2350582,1.715918228,2.860190409
2016/3/2 2:00,178,274.5871524,267.1959115,2.417465451,-0.371288504
2016/3/2 8:00,194,274.1756271,267.9464611,1.599878142,-1.747190414
2016/3/2 14:00,165,290.436608,270.8087932,1.337726608,1.569598792
2016/3/2 20:00,133,283.2823182,272.4635481,-0.290372396,4.359214135
2016/3/3 2:00,155,277.6876573,270.5655048,0.846325149,1.399603189
2016/3/3 8:00,233,275.7956825,271.5357034,0.317776711,-0.622844497
2016/3/3 14:00,348,290.23345,273.7804573,-0.517145855,-0.160668952
2016/3/3 20:00,364,285.4910111,275.1692695,-2.912949082,-0.025672444
2016/3/4 2:00,362,277.4574114,272.7551002,-2.032035019,-1.956559998
2016/3/4 8:00,296,276.009259,272.2655685,-2.162933896,-1.907186275
2016/3/4 14:00,309,283.4406773,275.6125074,-1.166687309,-1.833438183
2016/3/4 20:00,366,280.8308774,272.3719456,1.253173009,-2.341237548
2016/3/5 2:00,98,277.4844992,258.5547417,2.163450874,-2.68872856
2016/3/5 8:00,47,276.6416536,262.0257872,2.13762488,-2.379674054
2016/3/5 14:00,44,283.5344426,261.3077417,4.129764273,-2.327175412
2016/3/5 20:00,52,278.179404,263.0334148,1.554594207,-1.089394929
2016/3/6 2:00,38,271.6533414,263.7731296,0.222255909,-1.211579268
2016/3/6 8:00,22,272.6910104,263.8667021,-1.082841272,-0.971585476
2016/3/6 14:00,89,282.2050594,266.918149,0.655991106,0.521500903
2016/3/6 20:00,119,279.7838319,269.784421,-1.743703709,-1.299701989
2016/3/7 2:00,118,273.8359885,266.1193358,0.58205093,-2.217178257
2016/3/7 20:00,9,276.028012,254.4424786,-0.068551866,-5.196788685
2016/3/8 8:00,13,271.6522996,253.0270721,-0.6614884,-4.051505809
2016/3/8 14:00,12,276.3384792,254.2198746,1.098217041,-3.310899966
2016/3/8 20:00,16,271.9752688,255.4215419,-0.847577074,-2.751851927
2016/3/9 2:00,5,270.2833267,253.6101762,0.389594203,-3.857448329
2016/3/9 14:00,17,275.9842549,253.9618117,2.683862355,-2.802475617
2016/3/9 20:00,7,272.7128889,251.7475919,1.84009527,-2.272176834
2016/3/10 2:00,9,270.7709061,253.067456,2.387040307,-3.371523398
2016/3/10 8:00,12,271.0970008,255.013763,2.131610607,-2.93653465
2016/3/10 14:00,7,278.3231774,256.8861971,2.97007098,-2.675291407
2016/3/10 20:00,13,273.3734131,256.7157967,2.541288713,-1.446260698
2016/3/11 2:00,17,270.6177561,256.3484017,0.561531646,-2.904660474
2016/3/11 8:00,17,271.1480508,259.5416848,0.778753026,-1.946560257
2016/3/11 14:00,16,279.3556372,257.9755774,2.059439334,-0.454411354
2016/3/11 20:00,37,274.2173005,262.0051028,0.134872064,3.333615663
2016/3/12 2:00,80,269.4248536,261.482082,2.669003563,2.712381732
2016/3/12 8:00,103,271.1230467,262.0848856,-0.040956968,1.47460125
2016/3/12 14:00,121,281.6976852,263.3958849,0.499620015,2.40707713
2016/3/12 20:00,172,276.7541719,266.7979823,2.721716895,1.609597758
2016/3/13 2:00,28,274.4298351,260.9846705,1.936677415,-2.904660474
2016/3/13 8:00,14,274.4985963,262.1666384,1.384779447,-4.20493934
2016/3/13 14:00,10,282.6665929,260.5778766,1.579005078,-2.779976199
2016/3/13 20:00,24,276.7427117,263.2599586,1.75023496,2.031461845
2016/3/14 2:00,86,271.318912,262.0031328,2.273476687,-0.260666365
2016/3/14 8:00,102,272.3607483,264.0824112,1.058593598,-1.882499414
2016/3/14 14:00,101,287.4048644,261.4407131,2.020169671,1.516787658
2016/3/14 20:00,56,282.2321472,264.861525,1.353646742,3.276117151
2016/3/15 2:00,130,278.0700112,263.8942813,1.632779752,3.658607257
2016/3/15 8:00,106,277.5397165,266.3123905,0.359169058,2.414264444
2016/3/15 20:00,203,282.0560769,271.0914805,1.219210057,3.511423564
2016/3/16 2:00,250,276.6885362,270.37442,2.541288713,0.60587372
2016/3/16 8:00,237,275.1914175,270.8491771,1.097863261,-0.74565382
2016/3/16 14:00,299,289.9125644,273.7381034,1.201167239,3.092371903
